id,tm,conference,division,established,n_championships,n_hof, tmpic
1,BOS,eastern,atlantic,,,,http://127.0.0.1:50215/static/images/teams/celtics.png 
2,BRK,eastern,atlantic,,,,http://127.0.0.1:50215/static/images/teams/lakers.png 
3,NYK,eastern,atlantic,,,,http://127.0.0.1:50215/static/images/teams/lakers.png  
4,PHI,eastern,atlantic,,,,http://127.0.0.1:50215/static/images/teams/lakers.png  
5,TOR,eastern,atlantic,,,,http://127.0.0.1:50215/static/images/teams/lakers.png  
6,CHI,eastern,central,,,,http://127.0.0.1:50215/static/images/teams/lakers.png  
7,CLE,eastern,central,,,,http://127.0.0.1:50215/static/images/teams/lakers.png  
8,DET,eastern,central,,,,http://127.0.0.1:50215/static/images/teams/lakers.png  
9,IND,eastern,central,,,,http://127.0.0.1:50215/static/images/teams/lakers.png  
10,MIL,eastern,central,,,,http://127.0.0.1:50215/static/images/teams/lakers.png  
11,ATL,eastern,southeast,,,,http://127.0.0.1:50215/static/images/teams/lakers.png  
12,CHO,eastern,southeast,,,,http://127.0.0.1:50215/static/images/teams/lakers.png  
13,MIA,eastern,southeast,,,,http://127.0.0.1:50215/static/images/teams/lakers.png  
14,ORL,eastern,southeast,,,,http://127.0.0.1:50215/static/images/teams/lakers.png  
15,WAS,eastern,southeast,,,,http://127.0.0.1:50215/static/images/teams/lakers.png  
16,DEN,western,northwest,,,,http://127.0.0.1:50215/static/images/teams/lakers.png  
17,MIN,western,northwest,,,,http://127.0.0.1:50215/static/images/teams/lakers.png  
18,OKC,western,northwest,,,,http://127.0.0.1:50215/static/images/teams/lakers.png  
19,POR,western,northwest,,,,http://127.0.0.1:50215/static/images/teams/lakers.png  
20,UTA,western,northwest,,,,http://127.0.0.1:50215/static/images/teams/lakers.png  
21,GSW,western,pacific,,,,http://127.0.0.1:50215/static/images/teams/lakers.png  
22,LAC,western,pacific,,,,http://127.0.0.1:50215/static/images/teams/lakers.png  
23,LAL,western,pacific,,,,http://127.0.0.1:50215/static/images/teams/lakers.png  
24,PHO,western,pacific,,,,http://127.0.0.1:50215/static/images/teams/lakers.png  
25,SAC,western,pacific,,,,http://127.0.0.1:50215/static/images/teams/lakers.png  
26,DAL,western,southwest,,,,http://127.0.0.1:50215/static/images/teams/lakers.png  
27,HOU,western,southwest,,,,http://127.0.0.1:50215/static/images/teams/lakers.png  
28,MEM,western,southwest,,,,http://127.0.0.1:50215/static/images/teams/lakers.png  
29,NOP,western,southwest,,,,http://127.0.0.1:50215/static/images/teams/lakers.png  
30,SAS,western,southwest,,,,http://127.0.0.1:50215/static/images/teams/lakers.png  
