player_id, played
1, [5;5;4;4;2;2;1;1;9;10;8;8;7;7;5;6;4;4;2;3;1;1;10;10;8;9;7;7;7;6;6;4;5;3;3;2;2;10;1;9;9;7;8;6;6;5;5;3;4;2;2;1;1;9;9;8;8;6;7;5;5;4;4;4;3;3;1;1;10;10;8;9;7;7;6;6;4;4;3;3;1;2;10;10;9;9;7;8;6;6;4;5;3;3;2;2;10;1;9;9]
2, [10;8;8;6;7;5;5;4;4;2;3;1;1;10;10;8;8;7;7;5;6;4;4;3;3;1;2;10;10;8;9;7;7;6;6;6;5;5;3;3;2;2;10;1;9;9;8;8;6;7;5;5;3;4;2;2;1;1;9;10;8;8;7;7;5;5;4;4;2;3;1;1;2;10;10;9;9;7;7;6;6;4;5;3;3;2;2;10;10;9;9;7;8;6;6;5;5;3;4;2]
3, [2;10;1;9;9;8;8;6;7;7;5;6;4;4;2;3;1;1;10;10;8;9;7;7;6;6;4;4;3;3;1;2;10;10;9;9;7;8;6;6;4;5;3;3;4;2;2;1;1;9;9;8;8;6;7;5;5;4;4;2;3;1;1;9;10;8;8;7;7;5;6;4;4;3;3;1;1;10;10;8;9;9;7;8;6;6;5;5;3;3;2;2;10;1;9;9;8;8;6;7]
4, [5;5;3;4;2;2;1;1;9;10;8;8;6;7;5;5;6;4;4;3;3;1;2;10;10;8;9;7;7;6;6;4;5;3;3;2;2;10;10;9;9;7;8;6;6;5;5;3;4;2;2;10;1;9;10;8;8;7;7;5;5;4;4;2;3;1;1;10;10;8;9;7;7;5;6;4;4;3;3;1;2;10;10;9;9;7;7;8;6;6;5;5;3;4;2;2;1;1;9;9]
5, [8;8;6;7;5;5;4;4;2;3;1;1;9;10;8;8;7;7;5;6;4;4;2;3;3;1;2;10;10;9;9;7;8;6;6;4;5;3;3;2;2;10;1;9;9;8;8;6;6;5;5;3;4;2;2;1;1;9;10;10;8;8;7;7;5;6;4;4;3;3;1;2;10;10;8;9;7;7;6;6;4;5;3;3;1;2;10;10;9;9;7;8;6;6;5;5;5;3;4;2]
6, [2;1;1;9;10;8;8;7;7;5;5;4;4;2;3;1;1;10;10;8;9;7;7;5;6;4;4;3;3;1;2;2;10;10;9;9;7;8;6;6;5;5;3;4;2;2;10;1;9;9;8;8;6;7;5;5;4;4;2;2;1;1;9;10;8;8;7;7;7;6;6;4;4;3;3;1;2;10;10;9;9;7;8;6;6;4;5;3;3;2;2;10;1;9;9;7;8;6;6;5]
7, [5;3;4;4;2;3;1;1;9;10;8;8;7;7;5;6;4;4;3;3;1;1;10;10;8;9;7;7;6;6;4;5;3;3;1;2;10;10;9;9;9;8;6;7;5;5;3;4;2;2;1;1;9;10;8;8;6;7;5;5;4;4;2;3;1;1;10;10;8;8;7;7;5;6;6;4;5;3;3;2;2;10;10;9;9;7;8;6;6;5;5;3;4;2;2;10;1;9;9;8]
8, [8;6;7;5;5;3;4;2;2;1;1;1;10;10;8;9;7;7;5;6;4;4;3;3;1;2;10;10;9;9;7;7;6;6;4;5;3;3;2;2;10;1;9;9;7;8;6;6;7;5;5;4;4;2;3;1;1;9;10;8;8;7;7;5;6;4;4;2;3;1;1;10;10;8;9;7;7;6;6;4;4;3;3;3;2;2;10;1;9;9;8;8;6;6;5;5;3;4;2;2]
9, [1;1;9;10;8;8;6;7;5;5;4;4;2;3;1;1;9;10;8;8;9;7;7;6;6;4;5;3;3;1;2;10;10;9;9;7;8;6;6;5;5;3;3;2;2;10;1;9;9;8;8;6;7;5;5;5;4;4;2;3;1;1;10;10;8;9;7;7;5;6;4;4;3;3;1;2;10;10;8;9;7;7;6;6;4;5;3;3;2;2;10;10;1;9;9;8;8;6;7;5]
10, [5;4;4;2;2;1;1;9;10;8;8;7;7;5;6;4;4;2;3;1;1;10;10;8;9;7;7;8;6;6;4;5;3;3;2;2;10;1;9;9;7;8;6;6;5;5;3;4;2;2;1;1;9;9;8;8;6;7;5;5;4;4;2;3;3;1;1;10;10;8;9;7;7;6;6;4;5;3;3;1;2;10;10;9;9;7;8;6;6;4;5;3;3;2;2;10;1;9;9;10]
11, [8;8;6;7;5;5;4;4;2;3;1;1;10;10;8;8;7;7;5;6;4;4;3;3;1;2;10;10;8;9;7;7;6;6;4;5;5;3;4;2;2;10;1;9;9;8;8;6;7;5;5;3;4;2;2;1;1;9;10;8;8;7;7;5;5;4;4;2;3;1;1;2;10;10;9;9;7;7;6;6;4;5;3;3;2;2;10;1;9;9;7;8;6;6;5;5;3;4;2;2]
12, [1;1;9;9;8;8;6;7;7;5;6;4;4;2;3;1;1;10;10;8;9;7;7;6;6;4;4;3;3;1;2;10;10;9;9;7;8;6;6;4;5;3;3;4;2;2;1;1;9;10;8;8;6;7;5;5;4;4;2;3;1;1;9;10;8;8;7;7;5;6;4;4;3;3;1;1;10;10;8;9;9;7;8;6;6;5;5;3;3;2;2;10;1;9;9;8;8;6;7;5]
