player_id, ampltiude
1, [3;1;9;8;7;5;4;3;1;10;8;7;6;4;3;1;10;1;9;8;6;5;3;2;1;9;8;6;5;4;4;1;10;8;8;7;6;4;3;2;10;9;7;6;5;3;2;10;9;8;6;5;3;2;1;10;8;7;5;6;3;1;10;9;7;6;5;3;2;10;9;8;6;5;4;2;1;9;8;7;5;4;2;1;10;8;7;6;4;3;2;10;9;9;6;5;3;2;1;9]
2, [8;7;5;4;2;1;9;10;9;7;6;5;3;2;10;9;8;6;5;3;2;1;9;8;7;5;4;2;1;10;8;7;5;4;3;1;10;8;7;6;6;5;3;2;10;9;8;6;5;4;2;1;9;8;7;5;4;2;1;10;8;7;7;6;5;3;2;1;9;8;6;5;4;2;1;9;8;7;5;4;3;3;10;8;7;7;4;3;1;10;9;9;8;6;5;2;10;9;10;8]
3, [7;5;4;3;1;10;8;7;5;4;3;1;10;9;7;6;6;5;3;2;1;9;8;7;5;4;2;1;10;8;7;5;4;3;1;10;9;7;6;4;3;2;10;9;7;6;5;3;2;10;9;8;8;7;6;4;3;1;10;8;7;6;4;3;1;10;9;7;6;4;3;4;2;1;9;8;7;5;2;3;1;8;7;5;4;3;1;10;10;9;8;6;5;3;2;1;9;8;7;5]
4, [4;2;1;10;8;7;5;4;4;3;10;10;9;7;6;5;3;2;10;9;8;6;5;4;2;1;9;8;7;5;4;2;1;10;8;7;5;6;4;3;2;10;9;8;6;5;3;2;1;9;8;6;5;4;2;1;9;8;7;5;4;3;1;10;9;7;4;3;2;10;9;6;6;1;10;8;7;7;6;1;8;7;3;1;10;9;7;6;5;5;4;2;1;8;7;7;5;2;1;10]
5, [8;7;5;4;3;1;2;10;9;7;6;5;3;2;10;9;8;6;5;4;2;1;9;8;7;7;6;4;3;2;10;9;8;6;5;3;2;1;9;8;6;5;4;2;1;9;10;8;7;6;4;1;1;10;9;7;6;5;3;10;9;9;8;7;5;4;2;1;10;8;7;5;4;2;1;10;8;7;5;6;5;3;2;9;9;6;5;5;4;10;9;8;6;7;5;4;2;1;10;8]
6, [7;6;4;3;2;10;9;7;6;4;3;2;10;9;7;8;7;5;4;3;9;10;8;7;6;4;3;1;10;9;7;6;4;3;2;10;9;8;6;5;3;2;1;9;10;8;5;5;4;1;1;10;8;7;6;4;3;1;10;9;7;6;5;3;2;10;9;8;6;5;5;2;1;10;8;7;5;4;4;3;10;10;7;7;6;5;3;2;1;9;8;6;5;4;2;1;10;8;7;6]
7, [4;3;1;10;9;7;6;4;3;2;10;9;7;6;5;3;4;1;1;9;8;7;5;4;3;1;10;8;7;6;4;3;1;10;9;7;6;5;3;2;10;9;10;8;7;5;4;3;1;10;8;7;6;4;3;2;10;9;7;6;5;3;2;2;1;8;8;7;5;4;1;9;8;8;7;5;4;3;1;10;9;7;6;5;3;2;1;9;8;6;5;4;2;1;9;8;7;5;4;2]
8, [1;10;8;7;6;4;3;1;10;9;7;6;6;3;4;2;1;9;8;6;5;4;3;1;10;8;7;6;4;3;1;10;9;7;6;5;3;2;10;9;8;6;5;3;2;1;10;8;7;5;4;3;1;10;8;7;6;4;3;2;10;9;7;6;5;3;2;10;1;10;8;7;6;4;3;1;10;9;7;6;4;1;10;9;9;8;6;5;4;2;1;9;8;7;5;4;3;1;10;8]
9, [7;6;4;3;3;2;9;7;8;4;5;3;2;1;9;8;6;5;4;2;1;10;8;7;5;4;3;1;10;8;7;6;4;3;2;10;9;7;6;5;5;4;2;1;9;8;7;5;4;2;1;10;8;7;5;4;3;1;2;1;9;8;6;5;4;2;1;9;8;7;5;4;2;1;10;8;7;6;4;3;1;10;9;7;6;4;3;2;10;9;8;6;5;3;2;3;1;10;8;7]
10, [6;3;1;10;8;7;7;4;5;1;2;10;9;8;6;5;3;2;1;9;8;7;5;4;2;1;10;8;7;5;4;5;2;2;10;9;8;6;5;4;2;1;9;8;7;5;4;2;1;10;8;7;6;4;3;1;10;9;7;6;4;3;2;10;9;7;6;7;5;4;2;1;9;8;7;6;4;3;1;10;9;7;6;4;3;3;2;9;8;5;2;1;9;8;6;5;4;3;1;10]
