id,race,playerid
1,asian,3
2,asian,17
3,asian,3
4,asian,3
5,asian,1
6,asian,17
7,asian,3
8,asian,23
9,asian,23
10,asian,3
11,asian,1
12,asian,23
13,asian,1
14,asian,17
15,asian,1
16,asian,23
17,asian,17
18,asian,17
19,asian,1
20,asian,1
21,asian,23
22,asian,1
23,asian,3
24,asian,3
25,asian,23
26,asian,17
27,asian,17
28,asian,1
29,asian,3
30,asian,1
31,asian,23
32,asian,1
33,asian,23
34,asian,17
35,asian,1
36,asian,3
37,asian,23
38,asian,3
39,asian,17
40,asian,1
41,asian,3
42,asian,17
43,asian,27
44,asian,28
45,asian,2
46,asian,13
47,asian,2
48,asian,5
49,asian,11
50,asian,12
51,asian,4
52,asian,6
53,asian,4
54,asian,8
55,asian,28
56,asian,13
57,asian,19
58,asian,9
59,asian,20
60,asian,20
61,asian,22
62,asian,6
63,asian,5
64,asian,29
65,asian,19
66,asian,5
67,asian,5
68,asian,27
69,asian,9
70,asian,20
71,asian,5
72,asian,4
73,asian,12
74,asian,13
75,asian,19
76,asian,8
77,asian,2
78,asian,7
79,asian,22
80,asian,24
81,asian,8
82,asian,29
83,asian,19
84,asian,14
85,asian,29
86,asian,6
87,asian,10
88,asian,9
89,asian,28
90,asian,6
91,asian,24
92,asian,20
93,asian,8
94,asian,21
95,asian,22
96,asian,6
97,asian,4
98,asian,21
99,asian,28
100,asian,7
101,asian,13
102,asian,11
103,asian,13
104,asian,24
105,asian,14
106,asian,28
107,asian,10
108,asian,22
109,asian,24
110,asian,21
111,asian,19
112,asian,9
113,asian,8
114,asian,19
115,asian,13
116,asian,11
117,asian,24
118,asian,6
119,asian,10
120,asian,10
121,asian,7
122,asian,21
123,asian,6
124,asian,21
125,asian,14
126,asian,10
127,asian,20
128,asian,19
129,asian,14
130,asian,12
131,asian,2
132,asian,4
133,asian,19
134,asian,14
135,asian,14
136,asian,7
137,asian,27
138,asian,5
139,asian,22
140,asian,14
141,asian,29
142,asian,2
143,asian,22
144,asian,12
145,asian,7
146,asian,19
147,asian,8
148,asian,24
149,asian,2
150,asian,11
151,asian,4
152,asian,8
153,asian,10
154,asian,13
155,asian,4
156,asian,5
157,asian,19
158,asian,20
159,asian,24
160,asian,29
161,asian,9
162,asian,6
163,asian,22
164,asian,11
165,asian,12
166,asian,21
167,asian,12
168,asian,29
169,asian,11
170,asian,27
171,asian,21
172,asian,11
173,asian,27
174,asian,7
175,asian,7
176,asian,9
177,asian,27
178,asian,27
179,asian,20
180,asian,11
181,asian,10
182,asian,24
183,asian,2
184,asian,27
185,asian,29
186,asian,22
187,asian,22
188,asian,28
189,asian,9
190,asian,19
191,asian,27
192,asian,12
193,asian,8
194,asian,28
195,asian,5
196,asian,7
197,asian,4
198,asian,29
199,asian,10
200,asian,11
201,asian,13
202,asian,2
203,asian,6
204,asian,20
205,asian,22
206,asian,5
207,asian,19
208,asian,9
209,asian,14
210,asian,29
211,asian,28
212,asian,14
213,asian,9
214,asian,7
215,asian,7
216,asian,8
217,asian,21
218,asian,10
219,asian,7
220,asian,6
221,asian,10
222,asian,29
223,asian,5
224,asian,21
225,asian,19
226,asian,5
227,asian,4
228,asian,7
229,asian,21
230,asian,13
231,asian,8
232,asian,12
233,asian,20
234,asian,24
235,asian,6
236,asian,14
237,asian,14
238,asian,5
239,asian,4
240,asian,20
241,asian,8
242,asian,29
243,asian,12
244,asian,5
245,asian,10
246,asian,28
247,asian,7
248,asian,8
249,asian,2
250,asian,28
251,asian,21
252,asian,27
253,asian,4
254,asian,10
255,asian,4
256,asian,13
257,asian,19
258,asian,22
259,asian,4
260,asian,20
261,asian,4
262,asian,11
263,asian,29
264,asian,10
265,asian,29
266,asian,13
267,asian,21
268,asian,13
269,asian,13
270,asian,14
271,asian,24
272,asian,12
273,asian,13
274,asian,13
275,asian,6
276,asian,9
277,asian,16
278,asian,25
279,asian,16
280,asian,15
281,asian,30
282,asian,18
283,asian,15
284,asian,25
285,asian,1
286,asian,30
287,asian,17
288,asian,17
289,asian,30
290,asian,17
291,asian,15
292,asian,25
293,asian,26
294,asian,1
295,asian,26
296,asian,17
297,asian,16
298,asian,17
299,asian,18
300,asian,1
301,asian,15
302,asian,30
303,asian,18
304,asian,26
305,asian,15
306,asian,30
307,asian,30
308,asian,18
309,asian,18
310,asian,30
311,asian,25
312,asian,1
313,asian,26
314,asian,26
315,asian,15
316,asian,26
317,asian,26
318,asian,26
319,asian,16
320,asian,1
321,asian,26
322,asian,1
323,asian,1
324,asian,1
325,asian,26
326,asian,16
327,asian,18
328,asian,25
329,asian,30
330,asian,16
331,asian,25
332,asian,15
333,asian,17
334,asian,16
335,asian,18
336,asian,26
337,asian,1
338,asian,15
339,asian,25
340,asian,26
341,asian,30
342,asian,15
343,asian,16
344,asian,17
345,asian,17
346,asian,15
347,asian,18
348,asian,18
349,asian,1
350,asian,15
351,asian,25
352,asian,16
353,asian,1
354,asian,1
355,asian,18
356,asian,18
357,asian,30
358,asian,25
359,asian,26
360,asian,30
361,asian,16
362,asian,16
363,asian,17
364,asian,30
365,asian,16
366,asian,18
367,asian,1
368,asian,1
369,asian,18
370,asian,18
371,asian,15
372,asian,17
373,asian,15
374,asian,16
375,asian,30
376,asian,15
377,asian,12
378,asian,10
379,asian,24
380,asian,6
381,asian,20
382,asian,24
383,asian,4
384,asian,23
385,asian,2
386,asian,9
387,asian,29
388,asian,9
389,asian,12
390,asian,10
391,asian,19
392,asian,11
393,asian,8
394,asian,10
395,asian,6
396,asian,4
397,asian,8
398,asian,5
399,asian,9
400,asian,24
401,asian,12
402,asian,11
403,asian,7
404,asian,19
405,asian,10
406,asian,4
407,asian,14
408,asian,9
409,asian,19
410,asian,8
411,asian,11
412,asian,14
413,asian,19
414,asian,28
415,asian,28
416,asian,29
417,asian,23
418,asian,28
419,asian,3
420,asian,2
421,asian,7
422,asian,8
423,asian,2
424,asian,29
425,asian,23
426,asian,20
427,asian,28
428,asian,3
429,asian,14
430,asian,27
431,asian,28
432,asian,23
433,asian,27
434,asian,6
435,asian,5
436,asian,2
437,asian,20
438,asian,21
439,asian,28
440,asian,4
441,asian,23
442,asian,10
443,asian,20
444,asian,20
445,asian,2
446,asian,8
447,asian,5
448,asian,12
449,asian,20
450,asian,27
451,asian,20
452,asian,4
453,asian,27
454,asian,24
455,asian,24
456,asian,3
457,asian,7
458,asian,5
459,asian,6
460,asian,8
461,asian,2
462,asian,3
463,asian,19
464,asian,27
465,asian,11
466,asian,27
467,asian,7
468,asian,3
469,asian,6
470,asian,11
471,asian,5
472,asian,9
473,asian,12
474,asian,6
475,asian,24
476,asian,8
477,asian,20
478,asian,12
479,asian,11
480,asian,3
481,asian,23
482,asian,29
483,asian,7
484,asian,3
485,asian,10
486,asian,29
487,asian,20
488,asian,20
489,asian,2
490,asian,6
491,asian,23
492,asian,7
493,asian,12
494,asian,21
495,asian,5
496,asian,23
497,asian,4
498,asian,14
499,asian,29
500,asian,21
501,asian,21
502,asian,8
503,asian,28
504,asian,9
505,asian,9
506,asian,11
507,asian,21
508,asian,19
509,asian,27
510,asian,14
511,asian,2
512,asian,29
513,asian,5
514,asian,24
515,asian,21
516,asian,19
517,asian,10
518,asian,2
519,asian,14
520,asian,24
521,asian,3
522,asian,5
523,asian,21
524,asian,20
525,asian,21
526,asian,27
527,asian,10
528,asian,14
529,asian,4
530,asian,12
531,asian,28
532,asian,9
533,asian,28
534,asian,27
535,asian,7
536,asian,2
537,asian,2
538,asian,24
539,asian,29
540,asian,14
541,asian,14
542,asian,3
543,asian,7
544,asian,3
545,asian,28
546,asian,6
547,asian,10
548,asian,9
549,asian,11
550,asian,6
551,asian,11
552,asian,7
553,asian,21
554,asian,28
555,asian,3
556,asian,23
557,asian,4
558,asian,4
559,asian,10
560,asian,5
561,asian,8
562,asian,4
563,asian,11
564,asian,27
565,asian,20
566,asian,28
567,asian,27
568,asian,19
569,asian,9
