time,amplitude
0.0,1.021
1.0,1.258
2.0,1.088
3.0,1.015
4.0,1.112
5.0,0.97
6.0,1.125
7.0,1.133
8.0,1.07
9.0,1.047
10.0,1.1
11.0,1.169
12.0,1.246
13.0,1.063
14.0,1.029
15.0,1.264
16.0,1.108
17.0,1.069
18.0,1.039
19.0,1.292
20.0,1.075
21.0,1.027
22.0,1.048
23.0,1.156
24.0,1.091
25.0,1.163
26.0,1.042
27.0,0.943
28.0,1.188
29.0,1.186
30.0,1.187
31.0,1.038
32.0,1.066
33.0,1.028
34.0,0.996
35.0,1.098
36.0,1.062
37.0,1.03
38.0,0.923
39.0,1.228
40.0,1.133
41.0,1.037
42.0,1.035
43.0,1.191
44.0,1.069
45.0,1.105
46.0,1.153
47.0,1.388
48.0,1.109
49.0,0.948
50.0,1.154
51.0,0.922
52.0,1.243
53.0,1.001
54.0,1.295
55.0,1.025
56.0,1.338
57.0,1.147
58.0,1.204
59.0,1.04
60.0,1.174
61.0,1.225
62.0,1.232
63.0,1.174
64.0,1.052
65.0,1.109
66.0,1.046
67.0,1.044
68.0,0.947
69.0,1.234
70.0,1.07
71.0,1.041
72.0,1.237
73.0,1.222
74.0,1.203
75.0,1.083
76.0,0.905
77.0,1.108
78.0,0.956
79.0,1.183
80.0,1.182
81.0,1.14
82.0,1.134
83.0,1.068
84.0,1.149
85.0,0.972
86.0,1.117
87.0,1.161
88.0,1.054
89.0,0.964
90.0,1.082
91.0,1.169
92.0,1.12
93.0,1.172
94.0,1.056
95.0,1.092
96.0,1.159
97.0,1.084
98.0,1.076
99.0,1.234
100.0,1.065
101.0,1.259
102.0,0.965
103.0,1.052
104.0,0.971
105.0,1.004
106.0,1.04
107.0,1.113
108.0,1.143
109.0,1.217
110.0,1.135
111.0,1.079
112.0,1.28
113.0,1.052
114.0,1.047
115.0,1.188
116.0,1.144
117.0,1.271
118.0,1.137
119.0,1.008
120.0,1.165
121.0,1.093
122.0,1.029
123.0,1.124
124.0,1.011
125.0,1.135
126.0,1.115
127.0,1.223
128.0,1.198
129.0,1.146
130.0,1.182
131.0,1.078
132.0,1.105
133.0,1.19
134.0,1.08
135.0,1.137
136.0,1.188
137.0,1.127
138.0,1.245
139.0,1.114
140.0,1.202
141.0,1.105
142.0,0.967
143.0,0.942
144.0,0.901
145.0,1.071
146.0,1.344
147.0,0.91
148.0,1.214
149.0,1.18
150.0,0.852
151.0,1.02
152.0,1.161
153.0,1.022
154.0,1.116
155.0,0.999
156.0,1.071
157.0,1.029
158.0,1.246
159.0,1.263
160.0,1.193
161.0,1.067
162.0,1.095
163.0,1.214
164.0,1.223
165.0,1.218
166.0,1.211
167.0,1.029
168.0,1.027
169.0,1.097
170.0,1.114
171.0,1.088
172.0,1.132
173.0,1.065
174.0,1.216
175.0,1.15
176.0,1.093
177.0,1.197
178.0,1.122
179.0,0.948
180.0,1.133
181.0,1.057
182.0,1.009
183.0,1.083
184.0,1.033
185.0,1.019
186.0,1.152
187.0,1.054
188.0,0.931
189.0,1.133
190.0,1.305
191.0,1.152
192.0,1.131
193.0,1.098
194.0,0.961
195.0,1.092
196.0,0.937
197.0,0.906
198.0,0.924
199.0,1.212
200.0,1.063
201.0,1.058
202.0,0.979
203.0,1.048
204.0,1.034
205.0,1.207
206.0,1.064
207.0,0.95
208.0,0.896
209.0,1.02
210.0,1.123
211.0,1.149
212.0,1.188
213.0,1.215
214.0,1.222
215.0,1.123
216.0,1.033
217.0,1.117
218.0,0.979
219.0,0.97
220.0,1.224
221.0,1.126
222.0,1.169
223.0,1.153
224.0,1.103
225.0,1.097
226.0,1.138
227.0,1.037
228.0,1.169
229.0,0.975
230.0,1.24
231.0,1.174
232.0,0.987
233.0,0.977
234.0,0.988
235.0,1.14
236.0,1.061
237.0,1.033
238.0,1.233
239.0,1.068
240.0,0.918
241.0,1.144
242.0,1.258
243.0,1.146
244.0,1.171
245.0,1.215
246.0,1.164
247.0,0.822
248.0,1.051
249.0,1.086
250.0,1.13
251.0,1.142
252.0,1.196
253.0,1.204
254.0,1.1
255.0,1.063
256.0,1.204
257.0,1.036
258.0,1.068
259.0,1.2
260.0,1.228
261.0,1.087
262.0,1.12
263.0,0.976
264.0,1.051
265.0,1.012
266.0,1.096
267.0,1.077
268.0,1.141
269.0,1.181
270.0,1.052
271.0,0.996
272.0,1.048
273.0,1.026
274.0,1.108
275.0,1.127
276.0,1.198
277.0,1.105
278.0,1.17
279.0,1.021
280.0,1.087
281.0,1.028
282.0,1.121
283.0,1.259
284.0,0.992
285.0,1.06
286.0,1.041
287.0,1.046
288.0,1.16
289.0,1.09
290.0,1.214
291.0,1.136
292.0,1.102
293.0,1.104
294.0,0.98
295.0,1.211
296.0,1.097
297.0,1.206
298.0,1.164
299.0,1.183
300.0,1.386
301.0,0.939
302.0,1.008
303.0,1.072
304.0,1.063
305.0,1.245
306.0,1.106
307.0,1.179
308.0,0.955
309.0,1.012
310.0,1.332
311.0,1.028
312.0,1.296
313.0,1.03
314.0,1.218
315.0,1.049
316.0,1.219
317.0,1.052
318.0,1.05
319.0,1.125
320.0,1.066
321.0,1.283
322.0,1.218
323.0,1.15
324.0,1.075
325.0,1.012
326.0,1.123
327.0,1.174
328.0,1.303
329.0,1.094
330.0,1.29
331.0,1.051
332.0,1.085
333.0,1.014
334.0,1.205
335.0,0.957
336.0,0.891
337.0,1.115
338.0,1.345
339.0,0.925
340.0,1.174
341.0,1.121
342.0,0.969
343.0,0.927
344.0,1.033
345.0,1.146
346.0,1.059
347.0,1.03
348.0,1.025
349.0,1.153
350.0,1.067
351.0,0.978
352.0,1.035
353.0,1.241
354.0,1.062
355.0,0.875
356.0,1.101
357.0,1.172
358.0,1.195
359.0,0.99
360.0,1.134
361.0,1.31
362.0,1.095
363.0,1.041
364.0,1.405
365.0,1.152
366.0,1.273
367.0,1.084
368.0,1.08
369.0,1.152
370.0,1.139
371.0,1.065
372.0,1.075
373.0,0.932
374.0,1.065
375.0,1.371
376.0,1.121
377.0,1.077
378.0,1.028
379.0,1.246
380.0,1.27
381.0,1.128
382.0,1.16
383.0,1.217
384.0,1.164
385.0,1.04
386.0,1.085
387.0,1.236
388.0,1.171
389.0,1.119
390.0,1.116
391.0,1.081
392.0,1.082
393.0,1.157
394.0,0.914
395.0,1.026
396.0,1.01
397.0,1.083
398.0,0.931
399.0,1.025
400.0,1.021
401.0,0.984
402.0,1.106
403.0,1.192
404.0,0.964
405.0,0.964
406.0,1.053
407.0,1.167
408.0,1.229
409.0,1.138
410.0,1.165
411.0,1.145
412.0,1.099
413.0,1.14
414.0,0.994
415.0,1.087
416.0,1.154
417.0,0.947
418.0,1.199
419.0,1.132
420.0,1.062
421.0,1.071
422.0,1.131
423.0,1.207
424.0,1.153
425.0,1.031
426.0,1.097
427.0,1.154
428.0,1.042
429.0,1.114
430.0,1.127
431.0,1.211
432.0,1.005
433.0,1.079
434.0,1.219
435.0,1.195
436.0,1.142
437.0,0.938
438.0,1.189
439.0,1.092
440.0,1.12
441.0,1.059
442.0,1.201
443.0,1.061
444.0,1.189
445.0,1.196
446.0,0.887
447.0,1.222
448.0,1.204
449.0,1.067
450.0,1.113
451.0,1.042
452.0,0.972
453.0,1.09
454.0,1.262
455.0,1.171
456.0,1.243
457.0,1.089
458.0,1.013
459.0,0.96
460.0,1.012
461.0,1.07
462.0,1.209
463.0,1.029
464.0,1.114
465.0,1.084
466.0,1.06
467.0,0.959
468.0,1.17
469.0,1.085
470.0,1.171
471.0,1.066
472.0,1.08
473.0,1.11
474.0,1.079
475.0,1.146
476.0,1.239
477.0,1.073
478.0,1.184
479.0,1.038
480.0,1.236
481.0,0.978
482.0,1.125
483.0,1.057
484.0,1.304
485.0,1.038
486.0,0.956
487.0,1.125
488.0,1.072
489.0,1.258
490.0,1.182
491.0,1.254
492.0,1.245
493.0,1.166
494.0,1.171
495.0,0.907
496.0,1.186
497.0,1.315
498.0,1.122
499.0,0.955
500.0,1.264
501.0,1.242
502.0,1.34
503.0,1.269
504.0,1.064
505.0,1.123
506.0,1.136
507.0,1.152
508.0,1.101
509.0,1.072
510.0,0.959
511.0,1.17
512.0,1.06
513.0,0.927
514.0,1.135
515.0,1.124
516.0,0.995
517.0,1.224
518.0,1.078
519.0,1.007
520.0,0.965
521.0,1.137
522.0,1.107
523.0,1.03
524.0,1.093
525.0,0.905
526.0,1.023
527.0,1.222
528.0,1.012
529.0,1.067
530.0,1.008
531.0,1.135
532.0,1.024
533.0,1.096
534.0,1.055
535.0,1.133
536.0,1.193
537.0,0.955
538.0,1.038
539.0,1.078
540.0,1.135
541.0,0.976
542.0,1.168
543.0,0.888
544.0,1.124
545.0,1.141
546.0,1.304
547.0,1.251
548.0,1.011
549.0,1.083
550.0,1.355
551.0,1.027
552.0,1.0
553.0,1.181
554.0,0.959
555.0,1.119
556.0,0.968
557.0,1.063
558.0,1.051
559.0,1.066
560.0,1.048
561.0,1.134
562.0,1.035
563.0,1.207
564.0,1.076
565.0,0.957
566.0,1.101
567.0,0.971
568.0,1.036
569.0,1.095
570.0,1.206
571.0,1.174
572.0,1.307
573.0,1.167
574.0,1.023
575.0,1.045
576.0,1.106
577.0,1.057
578.0,1.113
579.0,1.225
580.0,1.087
581.0,1.026
582.0,1.103
583.0,1.184
584.0,1.099
585.0,1.084
586.0,1.109
587.0,0.823
588.0,1.183
589.0,1.028
590.0,1.158
591.0,1.072
592.0,1.132
593.0,1.048
594.0,1.151
595.0,1.22
596.0,1.274
597.0,0.989
598.0,1.05
599.0,1.162
600.0,1.028
601.0,1.176
602.0,1.149
603.0,1.056
604.0,1.027
605.0,1.073
606.0,0.985
607.0,1.271
608.0,1.005
609.0,0.982
610.0,1.139
611.0,1.177
612.0,0.991
613.0,1.22
614.0,1.182
615.0,1.025
616.0,1.139
617.0,1.11
618.0,1.115
619.0,1.129
620.0,1.08
621.0,1.029
622.0,1.087
623.0,0.941
624.0,1.348
625.0,1.044
626.0,1.078
627.0,1.011
628.0,0.955
629.0,1.05
630.0,1.029
631.0,0.835
632.0,1.08
633.0,1.016
634.0,1.173
635.0,1.27
636.0,1.229
637.0,1.124
638.0,1.158
639.0,0.998
640.0,1.13
641.0,1.247
642.0,1.128
643.0,0.935
644.0,1.148
645.0,1.011
646.0,1.176
647.0,1.092
648.0,0.972
649.0,1.126
650.0,1.064
651.0,1.124
652.0,1.142
653.0,1.167
654.0,1.154
655.0,1.021
656.0,1.31
657.0,1.209
658.0,0.964
659.0,1.123
660.0,0.981
661.0,1.172
662.0,1.057
663.0,1.213
664.0,0.908
665.0,0.936
666.0,1.249
667.0,0.955
668.0,1.23
669.0,1.137
670.0,1.346
671.0,0.861
672.0,1.046
673.0,1.026
674.0,1.074
675.0,1.023
676.0,1.013
677.0,1.116
678.0,1.169
679.0,1.078
680.0,0.917
681.0,1.039
682.0,1.036
683.0,1.155
684.0,1.233
685.0,1.2
686.0,1.023
687.0,0.982
688.0,1.093
689.0,1.144
690.0,1.191
691.0,1.122
692.0,1.044
693.0,1.267
694.0,0.922
695.0,1.194
696.0,1.212
697.0,0.957
698.0,1.155
699.0,1.186
700.0,1.171
701.0,1.057
702.0,1.197
703.0,1.164
704.0,1.114
705.0,1.048
706.0,1.054
707.0,1.174
708.0,1.132
709.0,1.322
710.0,1.036
711.0,1.094
712.0,1.095
713.0,1.242
714.0,1.004
715.0,1.008
716.0,1.242
717.0,1.233
718.0,1.109
719.0,0.95
720.0,1.112
721.0,1.151
722.0,1.031
723.0,1.164
724.0,1.155
725.0,1.124
726.0,0.983
727.0,0.972
728.0,1.035
729.0,1.072
730.0,1.027
731.0,0.9
732.0,1.183
733.0,1.145
734.0,1.106
735.0,1.01
736.0,1.091
737.0,1.061
738.0,1.2
739.0,1.015
740.0,1.025
741.0,1.147
742.0,1.052
743.0,1.3
744.0,1.095
745.0,1.146
746.0,1.079
747.0,1.178
748.0,1.065
749.0,1.092
750.0,1.14
751.0,1.055
752.0,1.077
753.0,1.262
754.0,1.219
755.0,1.118
756.0,1.108
757.0,1.073
758.0,1.048
759.0,1.085
760.0,0.997
761.0,1.203
762.0,1.235
763.0,1.116
764.0,1.06
765.0,1.043
766.0,1.044
767.0,1.018
768.0,1.02
769.0,1.172
770.0,0.888
771.0,1.235
772.0,0.866
773.0,1.213
774.0,1.16
775.0,1.087
776.0,0.926
777.0,1.053
778.0,0.995
779.0,1.038
780.0,0.826
781.0,0.993
782.0,1.239
783.0,1.146
784.0,1.192
785.0,1.005
786.0,1.07
787.0,1.053
788.0,1.17
789.0,1.145
790.0,1.028
791.0,0.998
792.0,1.098
793.0,1.232
794.0,1.014
795.0,1.022
796.0,1.073
797.0,1.076
798.0,1.072
799.0,0.93
800.0,1.085
801.0,1.117
802.0,1.087
803.0,1.297
804.0,1.063
805.0,0.974
806.0,1.255
807.0,1.04
808.0,1.046
809.0,1.014
810.0,0.913
811.0,1.04
812.0,1.129
813.0,1.07
814.0,1.283
815.0,1.117
816.0,1.146
817.0,1.005
818.0,1.212
819.0,1.093
820.0,1.002
821.0,1.137
822.0,1.06
823.0,1.244
824.0,1.112
825.0,1.25
826.0,1.005
827.0,1.136
828.0,1.213
829.0,0.928
830.0,1.068
831.0,1.026
832.0,1.126
833.0,1.04
834.0,1.016
835.0,1.242
836.0,1.099
837.0,1.086
838.0,1.063
839.0,1.071
840.0,1.141
841.0,1.145
842.0,0.818
843.0,1.164
844.0,1.299
845.0,1.062
846.0,1.099
847.0,1.049
848.0,1.267
849.0,1.233
850.0,1.001
851.0,1.061
852.0,1.369
853.0,0.982
854.0,1.108
855.0,1.177
856.0,1.163
857.0,0.853
858.0,1.154
859.0,1.097
860.0,1.144
861.0,1.318
862.0,1.072
863.0,1.14
864.0,1.098
865.0,1.117
866.0,1.231
867.0,1.331
868.0,1.16
869.0,1.155
870.0,1.171
871.0,1.119
872.0,0.867
873.0,1.309
874.0,1.169
875.0,1.1
876.0,0.998
877.0,1.32
878.0,1.004
879.0,1.187
880.0,1.138
881.0,1.055
882.0,1.085
883.0,0.843
884.0,1.163
885.0,0.975
886.0,1.051
887.0,1.065
888.0,0.817
889.0,1.31
890.0,1.055
891.0,1.108
892.0,0.94
893.0,1.091
894.0,0.957
895.0,1.144
896.0,1.066
897.0,1.238
898.0,1.058
899.0,1.355
900.0,0.925
901.0,1.235
902.0,1.046
903.0,1.09
904.0,1.159
905.0,1.052
906.0,0.94
907.0,1.233
908.0,1.174
909.0,1.065
910.0,0.971
911.0,1.052
912.0,1.092
913.0,1.115
914.0,1.097
915.0,1.166
916.0,1.088
917.0,1.136
918.0,1.05
919.0,1.038
920.0,1.027
921.0,1.112
922.0,1.243
923.0,0.991
924.0,1.106
925.0,1.101
926.0,1.253
927.0,1.044
928.0,1.157
929.0,1.039
930.0,1.159
931.0,1.022
932.0,0.9
933.0,1.143
934.0,1.005
935.0,1.113
936.0,1.14
937.0,1.199
938.0,1.127
939.0,1.029
940.0,1.106
941.0,1.248
942.0,1.087
943.0,1.192
944.0,1.087
945.0,1.05
946.0,1.038
947.0,0.969
948.0,1.103
949.0,1.075
950.0,1.235
951.0,1.043
952.0,1.146
953.0,0.998
954.0,1.166
955.0,1.083
956.0,1.142
957.0,1.105
958.0,1.051
959.0,1.238
960.0,0.968
961.0,1.184
962.0,1.083
963.0,1.065
964.0,1.223
965.0,1.113
966.0,1.207
967.0,1.107
968.0,1.137
969.0,0.993
970.0,1.144
971.0,1.148
972.0,1.045
973.0,1.047
974.0,1.11
975.0,1.062
976.0,1.134
977.0,1.163
978.0,1.236
979.0,1.023
980.0,1.154
981.0,1.033
982.0,1.092
983.0,1.079
984.0,1.053
985.0,0.995
986.0,1.167
987.0,1.006
988.0,1.013
989.0,1.182
990.0,1.034
991.0,0.923
992.0,1.186
993.0,1.104
994.0,1.196
995.0,1.193
996.0,1.279
997.0,1.147
998.0,0.979
999.0,1.034
1000.0,1.271
1001.0,1.182
1002.0,1.103
1003.0,1.202
1004.0,1.077
1005.0,1.046
1006.0,1.034
1007.0,1.19
1008.0,1.014
1009.0,1.048
1010.0,1.178
1011.0,1.113
1012.0,1.352
1013.0,1.106
1014.0,0.948
1015.0,1.101
1016.0,1.165
1017.0,1.249
1018.0,1.181
1019.0,1.118
1020.0,1.144
1021.0,1.142
1022.0,1.213
1023.0,1.066
1024.0,1.081
1025.0,1.237
1026.0,1.314
1027.0,0.993
1028.0,1.223
1029.0,1.066
1030.0,0.856
1031.0,1.123
1032.0,1.019
