data,value
0.0,0.0
0.0556,0.0
0.1111,0.0
0.1667,0.0
0.2222,0.0
0.2778,0.0
0.3333,0.0
0.3889,0.0
0.4444,0.0
0.5,0.0
0.5556,0.0
0.6111,0.0
0.6667,0.0
0.7222,0.0
0.7778,0.0
0.8333,0.0
0.8889,0.0
0.9444,0.0
1.0,0.0
1.0556,0.0
1.1111,0.0
1.1667,0.0
1.2222,0.0
1.2778,0.0
1.3333,0.0
1.3889,0.0
1.4444,0.0
1.5,0.0
1.5556,0.0
1.6111,0.0
1.6667,0.0
1.7222,0.0
1.7778,0.0
1.8333,0.0
1.8889,0.0
1.9444,0.0
2.0,1.0
2.0556,0.0
2.1111,0.0
2.1667,0.0
2.2222,0.0
2.2778,0.0
2.3333,0.0
2.3889,0.0
2.4444,0.0
2.5,0.0
2.5556,0.0
2.6111,0.0
2.6667,0.0
2.7222,0.0
2.7778,0.0
2.8333,0.0
2.8889,0.0
2.9444,0.0
3.0,0.0
3.0556,0.0
3.1111,0.0
3.1667,0.0
3.2222,0.0
3.2778,0.0
3.3333,0.0
3.3889,0.0
3.4444,0.0
3.5,0.0
3.5556,0.0
3.6111,0.0
3.6667,0.0
3.7222,0.0
3.7778,0.0
3.8333,0.0
3.8889,0.0
3.9444,0.0
4.0,0.0
4.0556,0.0
4.1111,0.0
4.1667,0.0
4.2222,0.0
4.2778,0.0
4.3333,0.0
4.3889,0.0
4.4444,0.0
4.5,0.0
4.5556,0.0
4.6111,0.0
4.6667,0.0
4.7222,0.0
4.7778,0.0
4.8333,0.0
4.8889,0.0
4.9444,0.0
5.0,0.0
5.0556,0.0
5.1111,0.0
5.1667,0.0
5.2222,0.0
5.2778,0.0
5.3333,0.0
5.3889,0.0
5.4444,0.0
5.5,0.0
5.5556,0.0
5.6111,0.0
5.6667,0.0
5.7222,0.0
5.7778,0.0
5.8333,0.0
5.8889,0.0
5.9444,0.0
6.0,0.0
6.0556,0.0
6.1111,0.0
6.1667,0.0
6.2222,0.0
6.2778,0.0
6.3333,0.0
6.3889,0.0
6.4444,0.0
6.5,0.0
6.5556,0.0
6.6111,0.0
6.6667,0.0
6.7222,0.0
6.7778,0.0
6.8333,0.0
6.8889,0.0
6.9444,0.0
7.0,0.0
7.0556,0.0
7.1111,0.0
7.1667,0.0
7.2222,0.0
7.2778,0.0
7.3333,0.0
7.3889,0.0
7.4444,0.0
7.5,0.0
7.5556,0.0
7.6111,0.0
7.6667,0.0
7.7222,0.0
7.7778,0.0
7.8333,0.0
7.8889,0.0
7.9444,0.0
